Date,Value
23-Apr-15,537.7
22-Apr-15,535.9549999999999
21-Apr-15,531.5550000000001
20-Apr-15,527.13
17-Apr-15,529.28
16-Apr-15,529.3
15-Apr-15,532.475
14-Apr-15,537.3299999999999
13-Apr-15,540.3499999999999
10-Apr-15,541.66
9-Apr-15,539.7049999999999
8-Apr-15,538.23
7-Apr-15,535.1500000000001
6-Apr-15,536.5350000000001
2-Apr-15,544.725
1-Apr-15,549.3
31-Mar-15,550.81
30-Mar-15,552.31
27-Mar-15,555.2950000000001
26-Mar-15,564.0450000000001
25-Mar-15,566.53
24-Mar-15,561.4949999999999
23-Mar-15,561.04
20-Mar-15,560.52
19-Mar-15,555.9449999999999
18-Mar-15,552.105
17-Mar-15,551.33
16-Mar-15,552.225
13-Mar-15,553.505
12-Mar-15,554.325
11-Mar-15,559.6949999999999
10-Mar-15,565.5550000000001
9-Mar-15,570.87
6-Mar-15,574.95
5-Mar-15,573.4449999999999
4-Mar-15,571.1600000000001
3-Mar-15,565.49
2-Mar-15,557.385
27-Feb-15,548.725
26-Feb-15,539.5550000000001
25-Feb-15,532.95
24-Feb-15,533.025
23-Feb-15,539.5899999999999
20-Feb-15,540.585
19-Feb-15,539.72
18-Feb-15,544.115
17-Feb-15,545.09
13-Feb-15,540.3
12-Feb-15,536.275
11-Feb-15,532.3
10-Feb-15,528.65
9-Feb-15,527.8199999999999
6-Feb-15,525.7149999999999
5-Feb-15,526.515
4-Feb-15,528.62
3-Feb-15,529.865
2-Feb-15,523.7950000000001
30-Jan-15,513.4300000000001
29-Jan-15,516.89
28-Jan-15,526.375
27-Jan-15,534.25
26-Jan-15,537.06
23-Jan-15,528.5350000000001
22-Jan-15,514.365
21-Jan-15,509.125
20-Jan-15,505.505
16-Jan-15,502.78999999999996
15-Jan-15,500.11
14-Jan-15,496.745
13-Jan-15,496.89
12-Jan-15,499.85
9-Jan-15,501.375
8-Jan-15,502.495
7-Jan-15,511.0
6-Jan-15,519.13
5-Jan-15,526.135
2-Jan-15,530.13
31-Dec-14,529.6700000000001
30-Dec-14,530.1400000000001
29-Dec-14,530.48
26-Dec-14,529.64
24-Dec-14,528.755
23-Dec-14,521.54
22-Dec-14,513.7950000000001
19-Dec-14,512.23
18-Dec-14,504.975
17-Dec-14,504.28
16-Dec-14,517.15
15-Dec-14,523.125
12-Dec-14,525.655
11-Dec-14,530.44
10-Dec-14,527.61
9-Dec-14,524.635
8-Dec-14,529.065
5-Dec-14,531.0799999999999
4-Dec-14,531.3
3-Dec-14,532.475
2-Dec-14,536.2049999999999
1-Dec-14,539.76
28-Nov-14,540.75
26-Nov-14,539.94
25-Nov-14,538.325
24-Nov-14,539.63
21-Nov-14,536.4300000000001
20-Nov-14,533.125
19-Nov-14,536.25
18-Nov-14,540.54
17-Nov-14,545.13
14-Nov-14,548.24
13-Nov-14,550.095
12-Nov-14,549.44
11-Nov-14,544.975
